,код,район,центр,область,parent_id
0,1703202,Алтынкульский район,нп Алтынкуль,1703,0
1,1703203,Андижанский район,гп Куйганяр,1703,0
2,1703206,Балыкчинский район,гп Баликчи,1703,0
3,1703209,Бустонский район,гп Боз,1703,0
4,1703210,Булакбашинский район,гп Булокбоши,1703,0
5,1703211,Жалакудукский район,г.Жалакудук,1703,0
6,1703214,Избасканский район,г.Пайтуг,1703,0
7,1703217,Улугноpский район,гп Околтин,1703,0
8,1703220,Кургантепинский район,г.Кургантепа,1703,0
9,1703224,Асакинский район,г.Асака,1703,0
10,1703227,Мархаматский район,г.Мархамат,1703,0
11,1703230,Шахриханский район,г.Шахрихан,1703,0
12,1703232,Пахтаабадский район,г.Пахтаабад,1703,0
13,1703236,Ходжаабадский район,г.Ходжаабад,1703,0
14,1706204,Алатский район,г.Алат,1706,1
15,1706207,Бухарский район,г. Галлаасия,1706,1
16,1706212,Вабкентский район,г. Вабкент,1706,1
17,1706215,Гиждуванский район,г. Гиждуван,1706,1
18,1706219,Каганский район,г. Каган,1706,1
19,1706230,Каракульский район,г. Каракуль,1706,1
20,1706232,Караулбазарский район,г. Каpаулбазаp,1706,1
21,1706240,Пешкунский район,гп Янгибозор,1706,1
22,1706242,Ромитанский район,г. Ромитан,1706,1
23,1706246,Жондоpский район,гп Жондор,1706,1
24,1706258,Шафирканский район,г. Шафиркан,1706,1
25,1708201,Арнасайский район,гп Голиблаp,1708,2
26,1708204,Бахмальский район,гп Усмат,1708,2
27,1708209,Галляаральский район,г. Галляарал,1708,2
28,1708212,Шароф Рашидовский район,гп Учтепа,1708,2
29,1708215,Дустликский район,г. Дустлик,1708,2
30,1708218,Зааминский район,гп Заамин,1708,2
31,1708220,Зарбдарский район,гп Зарбдар,1708,2
32,1708223,Мирзачульский район,г. Гагарин,1708,2
33,1708225,Зафарабадский район,гп Зафарабад,1708,2
34,1708228,Пахтакорский район,г. Пахтакор,1708,2
35,1708235,Фаришский район,гп Богдон,1708,2
36,1708237,Янгиободский район,нп Баландчакир,1708,2
37,1710207,Гузарский район,г. Гузар,1710,3
