,тин,махаля,код_махаля,область,район,сектор,coato,region_id,district_id
0,202935253,МАДЕНИЯТ,324,Республика Каракалпакстан,Шуманайский район,4,1735243,13,173
1,202673485,ЯНГИОБОД,3629,Наманганская область,Туракурганский район,3,1714224,5,64
2,202675997,ПОРЛОҚ,3625,Наманганская область,Туракурганский район,3,1714224,5,64
3,202678114,БАХТ,3614,Наманганская область,Туракурганский район,3,1714224,5,64
4,202704556,ГУЛИСТОН,3615,Наманганская область,Туракурганский район,3,1714224,5,64
5,202673343,ЁРТЕПА,3616,Наманганская область,Туракурганский район,3,1714224,5,64
6,202681849,КИЧИК ҚЎРҒОНЧА,3618,Наманганская область,Туракурганский район,3,1714224,5,64
7,202676085,КУЖРОН,3619,Наманганская область,Туракурганский район,3,1714224,5,64
8,202675980,КУЙМОЗОР,3620,Наманганская область,Туракурганский район,3,1714224,5,64
9,202676046,ОЛЧИН,3642,Наманганская область,Туракурганский район,4,1714224,5,64
10,202673422,САРОЙ,3643,Наманганская область,Туракурганский район,4,1714224,5,64
11,202675941,БОҒИШАМОЛ,3631,Наманганская область,Туракурганский район,4,1714224,5,64
12,202675934,ДУКАТ,3634,Наманганская область,Туракурганский район,4,1714224,5,64
13,202675894,ШОВОН,3650,Наманганская область,Туракурганский район,4,1714224,5,64
14,202675926,ЎРТАҚИШЛОҚ,3648,Наманганская область,Туракурганский район,4,1714224,5,64
15,202673328,ЎЗБЕКИСТОН,3647,Наманганская область,Туракурганский район,4,1714224,5,64
16,202675919,ТЕМИРҚИШЛОҚ,3645,Наманганская область,Туракурганский район,4,1714224,5,64
17,202676039,МАЖНУНТОЛ,3640,Наманганская область,Туракурганский район,4,1714224,5,64
18,205167305,ИЛГАЛДИ,8435,Хорезмская область,Кошкупырский район,4,1733212,12,150
19,206985925,ИЖТИМОИЯТ,8646,Хорезмская область,Шаватский район,1,1733230,12,156
20,204793913,ШИРИН,2558,Кашкадарьинская область,Миришкорский район,3,1710233,3,43
21,202673224,БАҲОРИСТОН,2549,Кашкадарьинская область,Миришкорский район,3,1710233,3,43
22,207001390,ГУЛОБОД,2550,Кашкадарьинская область,Миришкорский район,3,1710233,3,43
23,206164166,ТИНЧЛИК,2553,Кашкадарьинская область,Миришкорский район,3,1710233,3,43
24,205598354,ИСТИҚЛОЛ,2564,Кашкадарьинская область,Миришкорский район,4,1710233,3,43
25,200701775,ГУЛИСТОН,2563,Кашкадарьинская область,Миришкорский район,4,1710233,3,43
26,203103630,ШОДЛИК,2567,Кашкадарьинская область,Миришкорский район,4,1710233,3,43
27,207187270,ЯҲГИ ХАЁТ,2839,Кашкадарьинская область,Яккабагский район,1,1710250,3,50
28,200710804,ЧАЙДАРИ,2837,Кашкадарьинская область,Яккабагский район,1,1710250,3,50
29,206850484,ПАХТАКОР,2833,Кашкадарьинская область,Яккабагский район,1,1710250,3,50
30,202668284,ОБОД,2832,Кашкадарьинская область,Яккабагский район,1,1710250,3,50
31,202668300,ЖИЙДА,2829,Кашкадарьинская область,Яккабагский район,1,1710250,3,50
32,203038839,СОВУҚБУЛОҚ,2850,Кашкадарьинская область,Яккабагский район,2,1710250,3,50
33,305062078,ФАРОВОНЛИК,2852,Кашкадарьинская область,Яккабагский район,2,1710250,3,50
34,203039970,ХЎЖАИЛҒОР,2853,Кашкадарьинская область,Яккабагский район,2,1710250,3,50
35,203023651,ЧИМҚЎРҒОН,2847,Кашкадарьинская область,Яккабагский район,2,1710250,3,50
36,207180771,ИСТИҚЛОЛ,2846,Кашкадарьинская область,Яккабагский район,2,1710250,3,50
37,202668221,ЖАМБУЛ,2844,Кашкадарьинская область,Яккабагский район,2,1710250,3,50
38,202922776,САХОВАТ,5932,Сырдарьинская область,Акалтынский район,1,1724206,8,98
39,304965624,ХЎЖА,6294,Ташкентская область,Бостанлыкский район,1,1727224,10,121
40,304965268,БОЙТЕРАК,6293,Ташкентская область,Бостанлыкский район,1,1727224,10,121
41,303199708,ҚОРАБОЙ,6292,Ташкентская область,Бостанлыкский район,1,1727224,10,121
42,303365778,ГУЛОБОД,6290,Ташкентская область,Бостанлыкский район,1,1727224,10,121
43,202941999,ДАХАНА,6298,Ташкентская область,Бостанлыкский район,1,1727224,10,121
44,303485139,С.РАХИМОВ,6307,Ташкентская область,Бостанлыкский район,2,1727224,10,121
45,303209391,ХЎЖАКЕНТ,6308,Ташкентская область,Бостанлыкский район,2,1727224,10,121
46,303210528,ХУМСОН,6311,Ташкентская область,Бостанлыкский район,2,1727224,10,121
47,202997969,БЎСТОН,6313,Ташкентская область,Бостанлыкский район,2,1727224,10,121
48,303267733,КИЧИКСОЙ,6302,Ташкентская область,Бостанлыкский район,2,1727224,10,121
49,303209660,ТОВОҚСОЙ,6318,Ташкентская область,Бостанлыкский район,3,1727224,10,121
50,303187793,ТОЛЕБИ,6320,Ташкентская область,Бостанлыкский район,3,1727224,10,121
51,303187801,БУНЁДКОР,6321,Ташкентская область,Бостанлыкский район,3,1727224,10,121
52,207187381,МАСТ,8428,Хорезмская область,Кошкупырский район,3,1733212,12,150
53,207181328,АЙРОНКЎЛ,8427,Хорезмская область,Кошкупырский район,3,1733212,12,150
54,207187739,ЁВҒУР,8426,Хорезмская область,Кошкупырский район,3,1733212,12,150
55,207108351,МАДАНИЯТ,8423,Хорезмская область,Кошкупырский район,3,1733212,12,150
56,204785273,ЯНГИЛИК,8420,Хорезмская область,Кошкупырский район,3,1733212,12,150
