,tin,mahalla,mahalla_code,viloyat,tuman,sektor,coato,region_id,district_id
0,202935253,MADENIYAT,324,Qoraqalpog‘iston Respublikasi,Shumanay tumani,4,1735243,13,173
1,202673485,YANGIOBOD,3629,Namangan viloyati,To‘raqo‘rg‘on tumani,3,1714224,5,64
2,202675997,PORLOQ,3625,Namangan viloyati,To‘raqo‘rg‘on tumani,3,1714224,5,64
3,202678114,BAXT,3614,Namangan viloyati,To‘raqo‘rg‘on tumani,3,1714224,5,64
4,202704556,GULISTON,3615,Namangan viloyati,To‘raqo‘rg‘on tumani,3,1714224,5,64
5,202673343,YORTEPA,3616,Namangan viloyati,To‘raqo‘rg‘on tumani,3,1714224,5,64
6,202681849,KICHIK QOʻRGʻONCHA,3618,Namangan viloyati,To‘raqo‘rg‘on tumani,3,1714224,5,64
7,202676085,KUJRON,3619,Namangan viloyati,To‘raqo‘rg‘on tumani,3,1714224,5,64
8,202675980,KUYMOZOR,3620,Namangan viloyati,To‘raqo‘rg‘on tumani,3,1714224,5,64
9,202676046,OLCHIN,3642,Namangan viloyati,To‘raqo‘rg‘on tumani,4,1714224,5,64
10,202673422,SAROY,3643,Namangan viloyati,To‘raqo‘rg‘on tumani,4,1714224,5,64
11,202675941,BOGʻISHAMOL,3631,Namangan viloyati,To‘raqo‘rg‘on tumani,4,1714224,5,64
12,202675934,DUKAT,3634,Namangan viloyati,To‘raqo‘rg‘on tumani,4,1714224,5,64
13,202675894,SHOVON,3650,Namangan viloyati,To‘raqo‘rg‘on tumani,4,1714224,5,64
14,202675926,OʻRTAQISHLOQ,3648,Namangan viloyati,To‘raqo‘rg‘on tumani,4,1714224,5,64
15,202673328,OʻZBEKISTON,3647,Namangan viloyati,To‘raqo‘rg‘on tumani,4,1714224,5,64
16,202675919,TEMIRQISHLOQ,3645,Namangan viloyati,To‘raqo‘rg‘on tumani,4,1714224,5,64
17,202676039,MAJNUNTOL,3640,Namangan viloyati,To‘raqo‘rg‘on tumani,4,1714224,5,64
18,205167305,ILGALDI,8435,Xorazm viloyati,Qo‘shko‘pir tumani,4,1733212,12,150
19,206985925,IJTIMOIYAT,8646,Xorazm viloyati,Shovot tumani,1,1733230,12,156
20,204793913,SHIRIN,2558,Qashqadaryo viloyati,Mirishkor tumani,3,1710233,3,43
