,kod,viloyat,markazi
0,1703,Andijon viloyati,Andijon sh.
1,1706,Buxoro viloyati,Buxoro sh.
2,1708,Jizzax viloyati,Jizzax sh.
3,1710,Qashqadaryo viloyati,Qarshi sh.
4,1712,Navoiy viloyati,Navoiy sh.
5,1714,Namangan viloyati,Namangan sh.
6,1718,Samarqand viloyati,Samarqand sh.
7,1722,Surxondaryo viloyati,Termiz sh.
8,1724,Sirdaryo viloyati,Guliston sh.
9,1726,Toshkent shahri,
10,1727,Toshkent viloyati,Nurafshon sh.
11,1730,Farg‘ona viloyati,Farg‘ona sh.
12,1733,Xorazm viloyati,Urganch sh.
13,1735,Qoraqalpog‘iston Respublikasi,Nukus sh.
