,tuman,parent_id
0,Oltinko‘l tumani,0
1,Andijon tumani,0
2,Baliqchi tumani,0
3,Bo‘ston tumani,0
4,Buloqboshi tumani,0
5,Jalaquduq tumani,0
6,Izboskan tumani,0
7,Ulug‘nor tumani,0
8,Qo‘rg‘ontepa tumani,0
9,Asaka tumani,0
10,Marxamat tumani,0
11,Shaxrixon tumani,0
12,Paxtaobod tumani,0
13,Xo‘jaobod tumani,0
14,Olot tumani,1
15,Buxoro tumani,1
16,Vobkent tumani,1
17,G‘ijduvon tumani,1
18,Kogon tumani,1
19,Qorako‘l tumani,1
20,Qorovulbozor tumani,1
21,Peshku tumani,1
22,Romitan tumani,1
23,Jondor tumani,1
24,Shofirkon tumani,1
25,Arnasoy tumani,2
26,Baxmal tumani,2
27,G‘allaorol tumani,2
28,Sharof Rashidov tumani,2
29,Do‘stlik tumani,2
30,Zomin tumani,2
31,Zarbdor tumani,2
32,Mirzacho‘l tumani,2
33,Zafarobod tumani,2
34,Paxtakor tumani,2
35,Forish tumani,2
36,Yangiobod tumani,2
37,G‘uzor tumani,3
38,Dehqonobod tumani,3
39,Qamashi tumani,3
40,Qarshi tumani,3
41,Koson tumani,3
42,Kitob tumani,3
43,Mirishkor tumani,3
44,Muborak tumani,3
45,Nishon tumani,3
46,Kasbi tumani,3
47,Ko‘kdala tumani,3
48,Chiroqchi tumani,3
49,Shahrisabz tumani,3
50,Yakkabog‘ tumani,3
51,Konimex tumani,4
52,Qiziltepa tumani,4
53,Navbahor tumani,4
54,Karmana tumani,4
55,Nurota tumani,4
56,Tomdi tumani,4
57,Uchquduq tumani,4
58,Xatirchi tumani,4
59,Mingbuloq tumani,5
60,Kosonsoy tumani,5
61,Namangan tumani,5
62,Norin tumani,5
63,Pop tumani,5
64,To‘raqo‘rg‘on tumani,5
65,Uychi tumani,5
66,Uchqo‘rg‘on tumani,5
67,Chortoq tumani,5
68,Chust tumani,5
69,Yangiqo‘rg‘on tumani,5
70,Oqdaryo tumani,6
71,Bulung‘ur tumani,6
72,Jomboy tumani,6
73,Ishtixon tumani,6
74,Kattaqo‘rg‘on tumani,6
75,Qo‘shrabot tumani,6
76,Narpay tumani,6
77,Payariq tumani,6
