,махаля,region_id,district_id
0,МАДЕНИЯТ,13,173
1,ЯНГИОБОД,5,64
2,ПОРЛОҚ,5,64
3,БАХТ,5,64
4,ГУЛИСТОН,5,64
5,ЁРТЕПА,5,64
6,КИЧИК ҚЎРҒОНЧА,5,64
7,КУЖРОН,5,64
8,КУЙМОЗОР,5,64
9,ОЛЧИН,5,64
10,САРОЙ,5,64
11,БОҒИШАМОЛ,5,64
12,ДУКАТ,5,64
13,ШОВОН,5,64
14,ЎРТАҚИШЛОҚ,5,64
15,ЎЗБЕКИСТОН,5,64
16,ТЕМИРҚИШЛОҚ,5,64
17,МАЖНУНТОЛ,5,64
18,ИЛГАЛДИ,12,150
19,ИЖТИМОИЯТ,12,156
20,ШИРИН,3,43
21,БАҲОРИСТОН,3,43
22,ГУЛОБОД,3,43
23,ТИНЧЛИК,3,43
24,ИСТИҚЛОЛ,3,43
25,ГУЛИСТОН,3,43
26,ШОДЛИК,3,43
27,ЯҲГИ ХАЁТ,3,50
28,ЧАЙДАРИ,3,50
29,ПАХТАКОР,3,50
30,ОБОД,3,50
31,ЖИЙДА,3,50
32,СОВУҚБУЛОҚ,3,50
33,ФАРОВОНЛИК,3,50
34,ХЎЖАИЛҒОР,3,50
35,ЧИМҚЎРҒОН,3,50
36,ИСТИҚЛОЛ,3,50
37,ЖАМБУЛ,3,50
38,САХОВАТ,8,98
39,ХЎЖА,10,121
40,БОЙТЕРАК,10,121
41,ҚОРАБОЙ,10,121
42,ГУЛОБОД,10,121
43,ДАХАНА,10,121
44,С.РАХИМОВ,10,121
45,ХЎЖАКЕНТ,10,121
46,ХУМСОН,10,121
47,БЎСТОН,10,121
48,КИЧИКСОЙ,10,121
49,ТОВОҚСОЙ,10,121
50,ТОЛЕБИ,10,121
51,БУНЁДКОР,10,121
52,МАСТ,12,150
53,АЙРОНКЎЛ,12,150
54,ЁВҒУР,12,150
55,МАДАНИЯТ,12,150
56,ЯНГИЛИК,12,150
57,АМИРҚУМ,12,150
58,БЕКОБОД,12,150
59,ДЎСТЛИК,12,150
60,БОҒЗОР,12,150
61,ЁШЛИК,12,150
62,БЎРЛОҚ,12,150
63,ЧОРШАНБА,3,48
64,МАъНАВИЯТ,8,99
65,ИЖОДКОР,8,99
66,ЎРТА ЧАРХИН,6,78
67,ЧОРТУТ,6,78
68,ШОМБУЛОҚ,6,78
69,БЕШБОЛА,6,78
70,ГУЛАКАНДОЗ,6,78
71,ЯНГИ АВЛОД,6,78
72,ОЛМАЗОР,6,78
73,БОБУР,6,78
74,ГАЛАТУТ,6,78
75,ГУМБАЗ,6,78
76,ОҚ МАНҒИТ,6,78
77,ҚЎШРАБОТ,6,75
78,ҚЎРАЛОС,6,75
79,БОЙПЎРИШЛИ,6,75
80,БОШЧЎРОШ,6,77
81,ОҚТОШ,6,77
82,ЧУВАЛАНЧИ,11,135
83,ҚАХАТ,11,135
84,ЗАФАРОБОД,11,135
85,ЎЗБЕКИСТОН,11,135
86,ЧИНИГАРОН,11,140
87,НИСБАТ,6,74
88,СЕБУСТОН,6,74
89,ҒАРБ МАЧИТ,6,175
90,ЧОРДАРА,6,175
91,БАРКАМОЛ АВЛОД,3,44
92,ТИНЧЛИК,10,176
93,ОЛМАЛИҚОВУЛ,10,176
94,КАМАЛАК,10,176
95,САЙҲУН,10,177
96,БИРДАМЛИК,10,177
97,СИРДАРЁ,10,177
98,НУРОБОД,10,127
99,МАРКАЗИЙ,10,127
100,ГУЛИСТОН,10,127
101,ЧИМҚЎРҒОН,10,128
102,МЎМИНОБОД,10,128
103,НАВОИЙ,10,128
104,ЗОМИНОВУЛ ,10,128
105,КЎРПАСОЙ,2,28
106,Ғ.ҒУЛОМ,2,30
107,ХАЛҚОБОД,2,30
108,БЕШКУБИ,2,30
109,БЕШКАПА,5,61
110,УРГАНЖИ,5,61
111,ҚИРҒИЗҚЎРҒОН,5,61
112,ҚОРАКЎЛ,5,61
113,ХОНОБОД,5,61
114,ЯНГИЙЎЛ,5,61
115,НАъМУНА,5,61
116,ҚЎШЧИНОР,5,61
117,ҚОРАТЕПА,5,61
118,ЯШНАОБОД,5,61
119,ҒАЙРАТ,5,61
120,ЕШОБОД,5,61
121,ШЕРБУЛОҚ,5,178
122,ШАМСИКЎЛ,5,61
123,ҚУРАМА,5,61
124,ҚУМҚЎРҒОН,5,61
125,КАЙКОВУС,5,61
126,НОВҚА,2,26
127,МУСТАҚИЛЛИК,2,26
128,МЎҒОЛ,2,26
129,ҒАЛЛАКОН,2,26
130,КЎНАЗЕЙ,12,150
131,ОЛТИН ВОҲА,12,150
132,АБУ АБДУЛЛО РУДАКИЙ,6,179
133,УСМОН ЮСУПОВ,8,99
134,ЯНГИ БЎСТОН,8,99
135,МАДАНИЯТ,8,99
136,А.ТЕМУР,8,99
137,С.АЙНИЙ,8,99
138,ОЛМАЗОР,8,99
139,НУРЛИ ЙЎЛ,8,100
140,ФАРОВОН,8,100
141,НУРОБОД,8,100
142,ПАХТАОБОД,8,100
143,ПАХТАКОН,8,100
144,ШОДЛИК,8,100
145,СИНТОБ,8,100
146,ЎРИКЗОР,8,100
147,ГУЛИСТОН,8,100
148,ЗАФАРОБОД,3,38
149,ЮКСАЛИШ,5,180
150,ДАВЛАТОБОД,5,180
151,ИРВАДОН,5,180
152,ЮҚОРИ РОВУСТОН,5,180
153,ТЎҚУВЧИ,5,180
154,МАъНАВИЯТ,5,178
155,ГУЛИСТОН,5,178
156,ЖАЙЧИ,3,50
157,ЧИНОБОД,3,50
158,ГУЛИСТОН,3,50
159,ХЎЖАКИ,3,46
